,Link,Name,Spots
70268,/camping/french-meadows/r/facilityDetails.do?contractCode=NRSO&parkId=70268,FRENCH MEADOWS,48
70377,/camping/frenchman/r/facilityDetails.do?contractCode=NRSO&parkId=70377,FRENCHMAN,0
72313,/camping/fry-creek-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72313,FRY CREEK CAMPGROUND,11
70978,/camping/furnace-creek/r/facilityDetails.do?contractCode=NRSO&parkId=70978,FURNACE CREEK,0
70269,/camping/gates-group/r/facilityDetails.do?contractCode=NRSO&parkId=70269,GATES GROUP,3
70270,/camping/gerle-creek/r/facilityDetails.do?contractCode=NRSO&parkId=70270,GERLE CREEK,0
71676,/camping/giant-gap/r/facilityDetails.do?contractCode=NRSO&parkId=71676,GIANT GAP,10
74080,/camping/glory-hole-recreation-area/r/facilityDetails.do?contractCode=NRSO&parkId=74080,GLORY HOLE RECREATION AREA,11
71679,/camping/goldledge-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71679,GOLDLEDGE CAMPGROUND,24
71516,/camping/goose-meadows/r/facilityDetails.do?contractCode=NRSO&parkId=71516,GOOSE MEADOWS,15
71671,/camping/granite-flat-california/r/facilityDetails.do?contractCode=NRSO&parkId=71671,GRANITE FLAT (CALIFORNIA),48
71613,/camping/grasshopper-flat/r/facilityDetails.do?contractCode=NRSO&parkId=71613,GRASSHOPPER FLAT,0
70527,/camping/grassy-flat-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70527,GRASSY FLAT CAMPGROUND,10
70273,/camping/grays-meadows/r/facilityDetails.do?contractCode=NRSO&parkId=70273,GRAYS MEADOWS,24
70174,/camping/grays-peak-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70174,GRAYS PEAK GROUP CAMP,0
70274,/camping/green-creek-group/r/facilityDetails.do?contractCode=NRSO&parkId=70274,GREEN CREEK GROUP,0
70697,/camping/green-spot-equestrian-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70697,GREEN SPOT EQUESTRIAN GROUP CAMP,1
70275,/camping/green-valley/r/facilityDetails.do?contractCode=NRSO&parkId=70275,GREEN VALLEY,16
71616,/camping/grizzly/r/facilityDetails.do?contractCode=NRSO&parkId=71616,GRIZZLY,0
120037,/camping/grizzly-creek-redwoods-sp/r/facilityDetails.do?contractCode=CA&parkId=120037,GRIZZLY CREEK REDWOODS SP,0
120038,/camping/grover-hot-springs-sp/r/facilityDetails.do?contractCode=CA&parkId=120038,GROVER HOT SPRINGS SP,0
70594,/camping/gurnsey-creek/r/facilityDetails.do?contractCode=NRSO&parkId=70594,GURNSEY CREEK,2
120039,/camping/half-moon-bay-sb/r/facilityDetails.do?contractCode=CA&parkId=120039,HALF MOON BAY SB,0
70560,/camping/hallsted/r/facilityDetails.do?contractCode=NRSO&parkId=70560,HALLSTED,0
70553,/camping/hampshire-rocks/r/facilityDetails.do?contractCode=NRSO&parkId=70553,HAMPSHIRE ROCKS,23
70532,/camping/hanna-flat/r/facilityDetails.do?contractCode=NRSO&parkId=70532,HANNA FLAT,31
70530,/camping/hat-creek/r/facilityDetails.do?contractCode=NRSO&parkId=70530,HAT CREEK,3
70515,/camping/hayward-flat/r/facilityDetails.do?contractCode=NRSO&parkId=70515,HAYWARD FLAT,67
71599,/camping/headquarters/r/facilityDetails.do?contractCode=NRSO&parkId=71599,HEADQUARTERS,12
70603,/camping/heart-bar-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70603,HEART BAR CAMPGROUND,52
70278,/camping/heart-bar-equestrian/r/facilityDetails.do?contractCode=NRSO&parkId=70278,HEART BAR EQUESTRIAN,1
120041,/camping/henry-cowell-redwoods-sp/r/facilityDetails.do?contractCode=CA&parkId=120041,HENRY COWELL REDWOODS SP,1
120109,/camping/henry-w-coe-sp/r/facilityDetails.do?contractCode=CA&parkId=120109,HENRY W COE SP,11
940012,/camping/hermit-gulch/r/facilityDetails.do?contractCode=CTLN&parkId=940012,HERMIT GULCH,40
73203,/camping/hidden-view/r/facilityDetails.do?contractCode=NRSO&parkId=73203,HIDDEN VIEW,52
71523,/camping/hirz-bay/r/facilityDetails.do?contractCode=NRSO&parkId=71523,HIRZ BAY,31
71927,/camping/hirz-bay-group-1/r/facilityDetails.do?contractCode=NRSO&parkId=71927,HIRZ BAY GROUP 1,1
71928,/camping/hirz-bay-group-2/r/facilityDetails.do?contractCode=NRSO&parkId=71928,HIRZ BAY GROUP 2,1
70929,/camping/hodgdon-meadow/r/facilityDetails.do?contractCode=NRSO&parkId=70929,HODGDON MEADOW,0
71606,/camping/holey-meadow/r/facilityDetails.do?contractCode=NRSO&parkId=71606,HOLEY MEADOW,9
70687,/camping/holiday-group-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70687,HOLIDAY GROUP CAMPGROUND,0
70280,/camping/honeymoon-flat/r/facilityDetails.do?contractCode=NRSO&parkId=70280,HONEYMOON FLAT,0
70458,/camping/hope-valley/r/facilityDetails.do?contractCode=NRSO&parkId=70458,HOPE VALLEY,0
73511,/camping/horse-creek/r/facilityDetails.do?contractCode=NRSO&parkId=73511,HORSE CREEK,65
70149,/camping/horse-heaven-group/r/facilityDetails.do?contractCode=NRSO&parkId=70149,HORSE HEAVEN GROUP,0
71595,/camping/hospital-flat/r/facilityDetails.do?contractCode=NRSO&parkId=71595,HOSPITAL FLAT,25
120042,/camping/humboldt-redwoods-sp/r/facilityDetails.do?contractCode=CA&parkId=120042,HUMBOLDT REDWOODS SP,14
71547,/camping/hume-lake/r/facilityDetails.do?contractCode=NRSO&parkId=71547,HUME LAKE,34
71568,/camping/hungry-gulch/r/facilityDetails.do?contractCode=NRSO&parkId=71568,HUNGRY GULCH,74
70561,/camping/hutchins/r/facilityDetails.do?contractCode=NRSO&parkId=70561,HUTCHINS,0
70283,/camping/ice-house/r/facilityDetails.do?contractCode=NRSO&parkId=70283,ICE HOUSE,0
70952,/camping/indian-cove-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70952,INDIAN COVE CAMPGROUND,0
120043,/camping/indian-grinding-rock-shp/r/facilityDetails.do?contractCode=CA&parkId=120043,INDIAN GRINDING ROCK SHP,22
75213,/camping/indian-scotty-group-site/r/facilityDetails.do?contractCode=NRSO&parkId=75213,INDIAN SCOTTY GROUP SITE,1
75486,/camping/indian-springs/r/facilityDetails.do?contractCode=NRSO&parkId=75486,INDIAN SPRINGS,24
75438,/camping/indian-valley/r/facilityDetails.do?contractCode=NRSO&parkId=75438,INDIAN VALLEY,2
70176,/camping/ironwood-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70176,IRONWOOD GROUP CAMP,1
73223,/camping/island-park/r/facilityDetails.do?contractCode=NRSO&parkId=73223,ISLAND PARK,83
71581,/camping/jackass-meadow/r/facilityDetails.do?contractCode=NRSO&parkId=71581,JACKASS MEADOW,34
73582,/camping/jackson-flats/r/facilityDetails.do?contractCode=NRSO&parkId=73582,JACKSON FLATS,3
120044,/camping/jedediah-smith-redwoods-sp/r/facilityDetails.do?contractCode=CA&parkId=120044,JEDEDIAH SMITH REDWOODS SP,3
120045,/camping/julia-pfeiffer-burns-sp/r/facilityDetails.do?contractCode=CA&parkId=120045,JULIA PFEIFFER BURNS SP,0
70564,/camping/june-lake/r/facilityDetails.do?contractCode=NRSO&parkId=70564,JUNE LAKE,0
70177,/camping/juniper-springs-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70177,JUNIPER SPRINGS GROUP CAMP,1
71663,/camping/kaspian-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71663,KASPIAN CAMPGROUND,2
71668,/camping/kelty-meadow/r/facilityDetails.do?contractCode=NRSO&parkId=71668,KELTY MEADOW,7
71592,/camping/kinnikinnick/r/facilityDetails.do?contractCode=NRSO&parkId=71592,KINNIKINNICK,0
70972,/camping/kirby-cove-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70972,KIRBY COVE CAMPGROUND,0
71993,/camping/kirk-creek-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71993,KIRK CREEK CAMPGROUND,0
109334,/camping/kit-carson-campground/r/facilityDetails.do?contractCode=NRSO&parkId=109334,KIT CARSON CAMPGROUND,0
73240,/camping/kyen-campground-and-oak-grove-day-use-area/r/facilityDetails.do?contractCode=NRSO&parkId=73240,KYEN CAMPGROUND AND OAK GROVE DAY USE AREA,78
70576,/camping/laguna/r/facilityDetails.do?contractCode=NRSO&parkId=70576,LAGUNA,25
73584,/camping/lake-campground/r/facilityDetails.do?contractCode=NRSO&parkId=73584,LAKE CAMPGROUND,3
72775,/camping/lake-mary-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72775,LAKE MARY CAMPGROUND,4
120046,/camping/lake-oroville-sra/r/facilityDetails.do?contractCode=CA&parkId=120046,LAKE OROVILLE SRA,201
120069,/camping/lake-perris-sra/r/facilityDetails.do?contractCode=CA&parkId=120069,LAKE PERRIS SRA,411
70167,/camping/lakes-basin/r/facilityDetails.do?contractCode=NRSO&parkId=70167,LAKES BASIN,0
71519,/camping/lakeshore-east/r/facilityDetails.do?contractCode=NRSO&parkId=71519,LAKESHORE EAST,17
